sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.4829;3.4903;9.0945;1.1209;2.5447;9.4042;-0.4481;0.8596;-0.11;-0.0475;-0.0045;-0.0051;5.97;-22.63;-33.96;217.77;-14.62;-8.28;1003.22;70.293;51.89199;0.256755;209.0;NaN;82.83273;1.25;28.0;122.2;11 / 19;27007;2015-03-03 13:57:32:562
0.909;2.3287;10.0704;1.1853;2.5193;9.4031;-0.2226;0.4567;-0.1398;-0.1148;-0.0729;0.0643;4.74;-22.45;-34.13;215.82;-15.93;-6.27;1003.23;69.05;51.89199;0.256755;209.0;NaN;82.74706;1.25;28.0;122.2;11 / 19;27506;2015-03-03 13:57:33:061
0.2568;4.0164;9.7776;0.9915;3.0351;9.2723;-0.0324;-0.0044;0.2347;0.0839;0.1097;0.5631;4.74;-22.45;-36.18;221.26;-17.87;-6.24;1003.23;69.95;51.89199;0.256755;209.0;NaN;82.74706;1.25;28.0;122.2;11 / 19;28005;2015-03-03 13:57:33:560
1.0233;3.4665;8.6803;0.5393;2.8241;9.3757;0.068;0.3763;0.1664;-0.056;-0.0847;-0.2358;6.33;-21.23;-34.98;221.03;-17.08;-4.39;1003.22;67.336;51.89199;0.256755;209.0;NaN;82.83273;1.25;28.0;122.2;11 / 19;28506;2015-03-03 13:57:34:061
0.5377;2.6381;8.935;0.4344;2.465;9.4819;0.0403;-0.0115;-0.0486;-0.0336;0.036;-0.3383;7.73;-18.77;-37.37;228.33;-15.09;-3.0;1003.22;73.654;51.89199;0.256755;209.0;NaN;82.83273;1.25;28.0;122.2;11 / 19;29005;2015-03-03 13:57:34:560
0.2949;2.5786;8.9588;-0.1338;2.6125;9.4513;0.0704;0.0637;0.4199;-0.0026;-0.0451;0.028;11.25;-18.42;-36.35;233.67;-15.29;0.54;1003.22;72.63;51.89199;0.256755;209.0;NaN;82.83273;1.25;28.0;122.2;11 / 19;29515;2015-03-03 13:57:35:070
-0.574;2.5953;9.4277;-0.2156;2.5917;9.4555;0.042;0.1149;-0.1114;-0.0347;0.27;0.0494;10.72;-20.0;-35.49;225.64;-15.32;1.31;1003.22;69.34;51.89199;0.256755;209.0;NaN;82.83273;1.25;28.0;122.2;11 / 19;30005;2015-03-03 13:57:35:560
-1.0262;3.0333;9.242;-0.4397;2.7266;9.4097;0.0071;0.1011;0.0156;-0.0539;-0.0409;-0.0542;12.48;-18.6;-35.49;231.64;-15.57;1.38;1003.22;70.601;51.89199;0.256755;209.0;NaN;82.83273;1.25;28.0;122.2;11 / 19;30507;2015-03-03 13:57:36:062
-0.5692;2.8666;9.3515;-0.3558;2.6568;9.4332;-0.172;0.1255;0.1234;-0.0293;0.0072;-0.0019;11.78;-22.1;-35.15;222.67;-15.72;2.16;1003.21;70.852;51.89199;0.256755;209.0;NaN;82.91739;1.25;28.0;122.2;11 / 19;31006;2015-03-03 13:57:36:561
-0.7049;2.9833;8.9992;-0.3648;2.6641;9.4308;-0.0429;0.1222;0.039;0.0059;0.0147;0.0355;13.01;-19.47;-34.98;233.54;-15.73;2.05;1003.21;73.911;51.89199;0.256755;209.0;NaN;82.91739;1.25;28.0;122.2;11 / 19;31505;2015-03-03 13:57:37:060
-0.0289;2.1906;8.635;-0.453;2.6851;9.421;-0.1191;0.1289;-0.0043;-0.0058;0.0222;0.0237;13.88;-19.3;-35.15;235.48;-15.97;2.74;1003.21;73.302;51.89199;0.256755;209.0;NaN;82.91739;1.25;28.0;122.2;11 / 19;32005;2015-03-03 13:57:37:560
